cluster_id,latitude,longitude,urban_rural,live_births,u5_deaths,u5mr,survey_year,quality_flag
903,5.81564,7.1871,U,16.128648,1.344054,98.48484848484851,2018,sparse
904,5.75843,7.259803,U,9.88275,1.18593,130.06864988558354,2018,sparse
905,5.849259,7.159236,U,5.321688,0.0,0.0,2018,sparse
906,5.815705,6.964966,U,13.945374999999999,0.557815,50.00000000000004,2018,sparse
907,5.715674,6.892713,U,58.72144,5.505135,106.46350931677017,2018,complete
908,5.713594,6.807574,U,36.67692000000001,2.61978,81.63265306122457,2018,sparse
909,5.597935,7.060448,U,9.314778,0.846798,90.90909090909093,2018,sparse
910,5.639999,7.042588,U,24.768828,4.128138,174.60317460317464,2018,sparse
911,5.662968,7.028945,U,29.082075000000003,6.979698000000001,262.7282491944146,2018,sparse
912,5.764896,7.092386,U,12.748249000000001,0.0,0.0,2018,sparse
913,5.737805,7.107132,U,5.7282,0.57282,125.0,2018,sparse
914,5.63154,7.322109,U,4.035795,0.0,0.0,2018,sparse
915,5.531256,7.322918,U,30.865775,2.469262,108.57142857142854,2018,sparse
916,5.481466,7.25375,U,46.90041,1.563347,33.33333333333333,2018,sparse
917,5.525982,7.017339,U,61.159956,0.0,0.0,2018,complete
918,5.470368,7.040108,U,13.430520000000001,1.49228,111.11111111111116,2018,sparse
919,5.601313,6.750217,U,11.288416,1.411052,140.625,2018,sparse
920,5.8155,7.300178,R,10.513271999999997,3.003792,322.63814616755803,2018,sparse
921,5.771101,7.338684,R,11.514535999999996,0.500632,45.45454545454541,2018,sparse
922,5.847652,7.1119,R,2.585048,0.0,0.0,2018,sparse
923,5.792921,7.068923,R,8.823339,0.840318,95.23809523809523,2018,sparse
924,5.826933,6.98688,R,7.722454999999999,0.81289,120.30075187969925,2018,sparse
925,5.71656,6.961952,R,18.314280000000004,1.831428,105.88235294117653,2018,sparse
926,5.764406,6.913199,R,16.179804,0.0,0.0,2018,sparse
927,5.617412,6.990442,R,15.386637,2.930788,236.0580595874715,2018,sparse
928,5.717233,7.01715,R,6.42236,0.0,0.0,2018,sparse
929,5.718299,7.03895,R,5.226936,1.306734,278.12500000000006,2018,sparse
930,5.613416,7.187472,R,5.427814,0.775402,142.85714285714292,2018,sparse
931,5.653406,7.150596,R,6.2692000000000005,1.25384,200.00000000000006,2018,sparse
932,5.614045,7.26489,R,6.116512,2.293692,399.9999999999999,2018,sparse
933,5.59562,7.366772,R,6.8987549999999995,0.0,0.0,2018,sparse
934,5.522469,7.382787,R,16.150446000000002,1.242342,82.16783216783207,2018,sparse
935,5.425355,7.289727,R,8.658635999999998,0.618474,71.4285714285714,2018,sparse
936,5.58474,7.293137,R,5.941944,0.0,0.0,2018,sparse
937,5.591434,7.175623,R,13.837725000000004,1.84503,138.46153846153842,2018,sparse
938,5.309299,6.9499,R,3.2900630000000004,0.0,0.0,2018,sparse
939,5.379796,6.765099,R,25.674243999999995,2.702552,105.26315789473684,2018,sparse
940,5.340777,7.10376,R,25.39188,2.11599,98.03921568627449,2018,sparse
941,5.175342,7.701241,U,5.976954,0.664106,142.85714285714292,2018,sparse
942,5.005406,7.919691,U,9.729072,0.0,0.0,2018,sparse
943,5.015216,7.931437,U,17.191505000000003,1.011265,58.82352941176472,2018,sparse
944,5.497073,7.707412,R,16.436573999999997,0.782694,52.631578947368475,2018,sparse
945,5.246709,7.631602,R,3.9869059999999994,0.284779,71.4285714285714,2018,sparse
946,5.150904,7.742173,R,12.322386,0.0,0.0,2018,sparse
947,5.18894,7.762038,R,13.576199999999998,1.13135,99.99999999999997,2018,sparse
948,5.204908,7.850513,R,8.941786,0.638699,71.4285714285714,2018,sparse
949,5.295246,7.885454,R,12.839488,0.802468,62.5,2018,sparse
950,5.052379,7.912552,R,8.04245,1.60849,199.99999999999994,2018,sparse
951,4.91417,8.027923,R,17.906528,0.0,0.0,2018,sparse
952,5.092333,7.993704,R,15.310086000000002,1.611588,115.78947368421044,2018,sparse
953,5.017567,8.000683,R,12.561416,0.0,0.0,2018,sparse
954,5.061937,7.753948,R,11.128689,1.011699,90.90909090909093,2018,sparse
955,5.081518,7.710375,R,16.241834,1.160131,90.90909090909093,2018,sparse
956,5.132803,7.701618,R,22.416100000000004,1.120805,52.63157894736836,2018,sparse
957,4.989594,7.784458,R,26.036945,2.366995,99.99999999999997,2018,sparse
958,5.011309,7.537937,R,15.462400000000002,1.54624,99.99999999999997,2018,sparse
959,4.940578,7.751888,R,10.827725,0.636925,62.5,2018,sparse
960,4.912664,7.770002,R,11.758624,0.734914,62.5,2018,sparse
961,4.763196,7.777305,R,8.092308,0.0,0.0,2018,sparse
962,4.641217,7.76344,R,22.52634999999999,1.023925,76.92307692307688,2018,sparse
963,4.720689,7.821696,R,7.389096000000001,2.273568,333.6538461538462,2018,sparse
964,4.940159,7.902273,R,21.527868,0.0,0.0,2018,sparse
965,4.853612,7.991605,R,12.493538,0.0,0.0,2018,sparse
966,4.950768,7.960783,R,4.89942,0.0,0.0,2018,sparse
967,4.816855,8.108254,R,24.134199,1.270221,55.55555555555558,2018,sparse
968,4.800845,8.225357,R,13.900084000000001,2.4529560000000004,194.77124183006543,2018,sparse
969,4.704257,8.2708,R,9.978645000000002,1.995729,266.66666666666663,2018,sparse
970,4.686848,8.206264,R,12.934481999999996,5.879310000000001,480.0,2018,sparse
971,4.661627,8.134057,R,32.30666099999999,3.5896289999999995,116.16161616161614,2018,sparse
972,4.810447,7.915154,R,8.185259999999998,0.545684,125.0,2018,sparse
973,4.659256,7.933201,R,8.83952,0.883952,142.8571428571428,2018,sparse
974,4.680711,7.815174,R,9.441225,0.0,0.0,2018,sparse
975,4.689759,7.797947,R,7.395629999999999,0.0,0.0,2018,sparse
976,4.526856,7.743471,R,21.475552,2.684444,129.4642857142857,2018,sparse
977,4.6065,7.581567,R,20.66945,1.653556,90.52631578947367,2018,sparse
978,5.058204,5.875897,U,9.806272,0.0,0.0,2018,sparse
979,4.962715,5.620454,U,6.435363999999998,0.0,0.0,2018,sparse
980,5.112166,5.985592,U,9.853416,0.0,0.0,2018,sparse
981,5.181226,6.298609,U,2.6912689999999997,0.0,0.0,2018,sparse
982,4.932199,6.258557,U,5.222784,0.0,0.0,2018,sparse
983,4.932864,6.333172,U,21.990668000000003,0.0,0.0,2018,sparse
984,4.294858,6.188054,U,4.2943999999999996,0.0,0.0,2018,sparse
985,4.305836,6.277131,U,3.1177300000000003,0.0,0.0,2018,sparse
986,4.52668,6.413686,U,9.030584999999997,1.204078,183.33333333333334,2018,sparse
987,5.020604,5.78011,R,4.6034939999999995,0.0,0.0,2018,sparse
988,4.986257,5.517586,R,4.7473469999999995,0.0,0.0,2018,sparse
989,5.006935,5.696425,R,3.28821,0.0,0.0,2018,sparse
990,5.260395,6.361976,R,10.879341,0.0,0.0,2018,sparse
991,5.358478,6.506255,R,10.39896,0.86658,85.2272727272727,2018,sparse
992,4.97922,6.075236,R,6.7819199999999995,1.13032,187.4999999999999,2018,sparse
993,5.033435,6.180537,R,8.311275,0.0,0.0,2018,sparse
994,5.029281,6.226669,R,8.427568,0.526723,62.5,2018,sparse
995,5.150496,6.453038,R,5.146768000000001,0.0,0.0,2018,sparse
996,5.066582,6.312266,R,6.938438999999999,0.0,0.0,2018,sparse
997,5.205833,6.53904,R,11.058126,0.650478,58.82352941176472,2018,sparse
998,4.771683,6.357571,R,5.2494700000000005,0.0,0.0,2018,sparse
999,4.64925,6.330064,R,2.89101,0.289101,99.99999999999997,2018,sparse
1000,4.625331,6.33593,R,6.573248,0.410828,111.11111111111116,2018,sparse
1001,4.773772,6.256648,R,3.408355999999999,0.243454,76.92307692307698,2018,sparse
1002,4.832083,6.255312,R,5.044065,0.388005,111.11111111111116,2018,sparse
1003,4.629426,6.101734,R,3.4298,0.0,0.0,2018,sparse
1004,4.564302,6.024059,R,4.757805000000001,0.0,0.0,2018,sparse
1005,4.850273,6.121004,R,2.321394,0.0,0.0,2018,sparse
1006,4.492541,5.804284,R,4.046751,0.0,0.0,2018,sparse
1007,4.824162,6.079286,R,5.0192250000000005,0.334615,66.66666666666666,2018,sparse
1008,4.318322,6.167274,R,3.414504,0.0,0.0,2018,sparse
1009,4.292756,6.061924,R,2.515952,0.314494,155.8441558441559,2018,sparse
1010,4.337688,6.042952,R,2.04421,0.0,0.0,2018,sparse
1011,4.641489,6.243052,R,7.442225,0.0,0.0,2018,sparse
1012,4.626427,6.436006,R,4.528001,0.0,0.0,2018,sparse
1013,4.948021,8.318503,U,4.722795,0.314853,66.66666666666666,2018,sparse
1014,4.94377,8.338139,U,3.529668,0.0,0.0,2018,sparse
1015,4.956294,8.319458,U,4.772507999999999,0.795418,166.66666666666674,2018,sparse
1016,4.970816,8.372818,U,7.509040000000001,0.0,0.0,2018,sparse
1017,5.003453,8.346094,U,16.991065,0.0,0.0,2018,sparse
1018,5.07364,8.356641,U,19.596742000000006,0.0,0.0,2018,sparse
1019,6.732441,8.789778,R,20.22033,0.0,0.0,2018,sparse
1020,6.812031,8.864216,R,10.202076,0.0,0.0,2018,sparse
1021,6.65367,8.803337,R,18.847424,2.217344,117.64705882352943,2018,sparse
1022,6.57839,8.96512,R,7.678583,0.0,0.0,2018,sparse
1023,6.540892,9.183928,R,11.423533,0.0,0.0,2018,sparse
1024,6.387816,8.81168,R,15.171299000000001,0.0,0.0,2018,sparse
1025,5.944186,8.890828,R,7.277897,0.0,0.0,2018,sparse
1026,5.945161,8.620847,R,3.925788,0.654298,199.99999999999994,2018,sparse
1027,6.351943,8.692396,R,12.649755000000004,0.843317,66.66666666666666,2018,sparse
1028,6.003999,8.367326,R,12.412874999999998,1.65505,133.33333333333331,2018,sparse
1029,6.105192,8.358746,R,11.903638,1.400428,121.5686274509804,2018,sparse
1030,5.823376,8.134193,R,9.92525,0.992525,99.99999999999997,2018,sparse
1031,5.843255,8.096268,R,5.068216,0.0,0.0,2018,sparse
1032,5.837726,8.010237,R,14.602014,0.811223,55.55555555555558,2018,sparse
1033,5.991202,8.036676,R,8.653044,0.0,0.0,2018,sparse
1034,5.649543,8.095054,R,9.01901,1.06106,117.64705882352943,2018,sparse
1035,5.674902,8.014533,R,8.978205,1.197094,144.44444444444449,2018,sparse
1036,5.391061,8.126313,R,2.380585,0.476117,250.0,2018,sparse
1037,5.638112,8.682363,R,3.302424,0.0,0.0,2018,sparse
1038,5.400953,8.623506,R,10.787924,2.311698,220.77922077922074,2018,sparse
1039,5.494947,8.7365,R,9.43551,0.629034,66.66666666666666,2018,sparse
1040,5.196861,8.152901,R,7.867991999999999,0.715272,99.99999999999997,2018,sparse
1041,5.064296,8.158805,R,9.123688,0.0,0.0,2018,sparse
1042,5.474814,7.96647,R,6.294396,0.524533,111.11111111111116,2018,sparse
1043,5.022182,8.434841,R,3.619343000000001,0.278411,83.33333333333326,2018,sparse
1044,4.961708,8.423394,R,3.39396,0.0,0.0,2018,sparse
1045,4.896962,8.497502,R,3.161952,0.702656,222.2222222222222,2018,sparse
1046,4.889103,8.472164,R,5.7273119999999995,0.0,0.0,2018,sparse
1047,4.984796,8.486254,R,4.375032,0.0,0.0,2018,sparse
1048,6.288464,6.347306,U,16.103130999999998,0.947243,58.82352941176472,2018,sparse
1049,6.175741,6.519009,U,9.214337999999998,0.0,0.0,2018,sparse
1050,6.191897,6.727212,U,12.712809999999998,0.0,0.0,2018,sparse
1051,5.665268,6.192019,U,42.80941,3.057815,333.33333333333326,2018,sparse
1052,5.577364,5.880517,U,33.671145,2.244743,66.66666666666666,2018,sparse
1053,5.781407,6.097082,U,26.545204000000002,1.896086,71.4285714285714,2018,sparse
1054,5.549832,6.233246,U,24.745776,1.546611,66.66666666666666,2018,sparse
1055,5.505793,6.31455,U,15.58617,0.0,0.0,2018,sparse
1056,5.226507,6.18821,U,10.456281,0.0,0.0,2018,sparse
1057,5.570842,5.74841,U,19.358130000000003,1.75983,90.90909090909093,2018,sparse
1058,5.541352,5.756548,U,7.144384,0.0,0.0,2018,sparse
1059,5.927658,5.671753,U,3.27168,0.0,0.0,2018,sparse
1060,5.892618,5.659992,U,14.385792000000004,0.0,0.0,2018,sparse
1061,5.928374,5.054743,U,8.386452000000002,0.0,0.0,2018,sparse
1062,5.54175,5.74014,U,10.065055000000001,0.0,0.0,2018,sparse
1063,5.508233,5.71756,U,8.184764,0.0,0.0,2018,sparse
1064,5.51573,5.824913,U,29.50724,1.73572,58.82352941176472,2018,sparse
1065,5.235885,5.841814,U,22.339344999999998,0.0,0.0,2018,sparse
1066,6.279609,6.26102,R,5.74596,0.0,0.0,2018,sparse
1067,6.372612,6.541149,R,7.20918,0.0,0.0,2018,sparse
1068,6.069672,6.462683,R,3.682638,0.0,0.0,2018,sparse
1069,5.770928,6.572505,R,52.624152,2.192673,41.66666666666663,2018,complete
1070,5.781494,6.167054,R,8.566426,0.0,0.0,2018,sparse
1071,5.606746,6.073154,R,9.727443000000001,0.0,0.0,2018,sparse
1072,5.46359,6.041798,R,16.933644,0.0,0.0,2018,sparse
1073,5.811581,6.120688,R,13.010315999999998,0.0,0.0,2018,sparse
1074,5.327208,6.254008,R,2.35621,0.0,0.0,2018,sparse
1075,5.179696,6.166482,R,25.203284999999994,3.2873850000000004,163.0434782608695,2018,sparse
1076,5.468046,5.91421,R,11.164283,0.0,0.0,2018,sparse
1077,5.591119,5.719822,R,26.21637,1.456465,55.55555555555558,2018,sparse
1078,5.647991,5.798195,R,7.024980000000001,0.468332,125.0,2018,sparse
1079,5.835149,5.738198,R,7.611599999999999,0.0,0.0,2018,sparse
