lga_name,year,facilities_per_10k,avg_distance_km,u5mr_mean,coverage_5km,towers_per_10k,population_density,pop_pct_60min
Bebeji,2013,0.9752169,0.32504496,0.6939487,0.020922635,-0.26464897,0.014315578,0.0
Rano,2013,1.0454289,0.574262,1.1110541,-0.09123721,0.33774024,0.09611576,0.0
Tarauni,2013,0.76241165,-0.75066787,0.73005164,-0.27512103,-0.3399825,0.13808778,0.0
Etinan,2013,0.9701991,-0.39007968,-0.17752145,-0.26774913,-0.08605723,0.12397654,0.0
Yewa South,2013,-0.19383341,0.16641498,0.72547305,-0.05340698,0.015296659,-0.013156077,0.0
Argungu,2013,0.3673163,0.1574345,-1.2435032,0.13090232,-0.03888808,-0.037871134,0.0
Kiru,2013,1.0641625,-0.4065148,0.97104543,0.048134167,0.15371333,0.031477302,0.0
Batagarawa,2013,-0.50231034,0.20393935,0.9042952,-0.24206586,-0.118446164,0.043538768,0.0
Bomadi,2013,0.6544112,-0.15406235,0.91378224,-0.16651833,0.3811856,0.120794475,0.0
Kwaya Kusar,2013,-0.76931256,0.39453235,-0.8385668,0.12808383,0.3252341,-0.14243029,0.0
Igbo-Etiti,2013,-0.17496717,-0.3648066,0.7872173,0.11340053,0.0045131706,0.116588496,0.0
Doguwa,2013,0.7312164,0.48490107,0.7177288,0.27617776,0.3324236,-0.07092457,0.0
Bade,2013,0.8048542,0.5502919,1.127532,0.284158,0.021110807,-0.06294889,0.0
Itu,2013,1.0482707,-0.2902455,0.83563864,-0.16121148,-0.34564772,0.124369025,0.0
Bama,2013,1.0782729,0.42053127,-1.1828291,0.36122057,0.31084085,-0.19603172,0.0
Gada,2013,0.8291085,0.15305914,1.0307133,0.024170987,0.31806025,-0.03726279,0.0
Gusau,2013,0.4510678,0.2778834,0.9136195,0.27525362,-0.354173,-0.037253503,0.0
Lagos Mainland,2013,0.23049864,-0.7133954,0.3808376,-0.23323448,-0.3090795,0.15482949,0.0
Kaita,2013,0.1256308,0.048383273,0.20375705,-0.11709422,0.35214034,0.0010998789,0.0
Minjibir,2013,1.0640349,-0.23111571,0.933615,-0.27040076,0.23566312,0.13883153,0.0
Ini,2013,0.57906795,0.09957002,-1.2731937,-0.16155274,0.24568608,0.02030335,0.0
Talata Mafara,2013,0.2378598,0.16480358,-0.52866447,0.19105913,-0.055339154,-0.056534875,0.0
Gwandu,2013,-0.17287901,-0.05501018,0.18564129,0.14339037,-0.08026084,-0.052019965,0.0
Birnin Magaji-Kiyaw,2013,0.39810273,0.13522856,1.178124,0.23675095,0.31360006,-0.029198589,0.0
Shanono,2013,0.700199,-0.17394845,0.7264105,-0.29262456,0.34851182,0.021673856,0.0
Rogo,2013,1.0459592,0.15613763,0.7432997,0.04083059,0.3051243,0.027272264,0.0
Batsari,2013,-0.2638096,-0.17979495,0.6534577,0.09668841,0.33436868,-0.034311216,0.0
Eket,2013,0.12347026,-0.746854,0.084536806,-0.2573678,-0.28176975,0.09867334,0.0
Okobo,2013,0.80272335,-0.52863866,-0.15684816,0.20445357,0.22280079,0.09507134,0.0
Kano Municipal,2013,1.0906516,-0.59172755,-0.6952768,-0.24575874,-0.17753121,0.15382305,0.0
Bursari,2013,-0.068130456,0.68718714,0.37193903,0.28465924,0.33238694,-0.12850644,0.0
Maiyama,2013,0.4291042,0.3981625,-0.830798,0.16946302,-0.16622889,-0.06452005,0.0
Lagos Island,2013,0.18897016,-0.70887995,0.73192215,-0.24714875,-0.3263399,0.14734894,0.0
Madobi,2013,0.93731976,-0.026053142,0.9527649,-0.2790925,0.2609712,0.08448283,0.0
Miga,2013,0.84223443,0.26545295,1.162315,-0.10375344,0.13128065,-0.00051527255,0.0
Rimi,2013,-0.4046512,-0.123967476,0.23457068,-0.24417876,0.049068186,0.040735178,0.0
