lga_uid,lga_name,state_name,state_lga,area_sq_km,lga_lat,lga_lon,u5mr_mean,u5mr_median,live_births_sum,u5_deaths_sum,facilities_count,facilities_per_10k,avg_distance_km,urban_prop,population,population_density,access_score,towers_count,tower_density_per_km2,avg_dist_to_tower_km,towers_per_10k_pop,coverage_5km,year
252,Ini,Akwa Ibom,Akwa Ibom__Ini,429.1006463742133,5.310964,7.808506,0.0,0.0,9.32347,0.0,26,1.6467786476147046,2.281827283047619,0.0,157884.0,367.9416503658942,0.6582687338501292,0,0.0,,0.0,645.6214838552274,2013
253,Talata Mafara,Zamfara,Zamfara__Talata Mafara,1620.741779880839,12.569394,6.066145,54.05405405405403,54.05405405405403,37.63451300000002,2.034298,65,1.979781858497376,2.2383339284138657,1.0,328319.0,202.5732933374117,0.5917312661498708,0,0.0,,0.0,313.6736290231944,2013
254,Gwandu,Kebbi,Kebbi__Gwandu,1066.686828834324,12.507371,4.633051,78.43137254901963,78.43137254901963,64.428861,5.053244,60,2.575361516372861,1.821307071464452,1.0,232977.0,218.4118090729567,0.4586563307493539,0,0.0,,0.0,444.2711241974603,2013
255,Birnin Magaji-Kiyaw,Zamfara,Zamfara__Birnin Magaji-Kiyaw,1302.8733593235904,12.536252,6.9287865,157.6783323771275,157.6783323771275,140.44851900000003,22.123142,52,1.84892833269332,2.203429293769429,0.0,281244.0,215.8644184312839,0.6052971576227391,0,0.0,,0.0,290.88596026567683,2013
256,Shanono,Kano,Kano__Shanono,480.86180220621566,12.075006995056748,7.963197494849242,108.31924971946268,105.08786848072562,0.0,0.0,32,1.4395997912580305,1.7441758973613506,0.25,222284.0,462.261712159608,0.6324289405684754,0,0.0,,0.0,516.0047001845489,2013
257,Rogo,Kano,Kano__Rogo,840.3072914287903,11.516092532208894,7.838807745416065,108.31924971946268,105.08786848072562,0.0,0.0,33,0.9145682406478468,2.22952473800649,0.25,360826.0,429.39767830228,0.7648578811369509,0,0.0,,0.0,357.3713651972448,2013
258,Batsari,Katsina,Katsina__Batsari,1166.1124822073205,12.753208,7.243292,102.04081632653062,102.04081632653062,45.142377,4.606365,87,2.766990754434341,1.6132451076614058,1.0,314421.0,269.6317934997456,0.4037467700258398,0,0.0,,0.0,591.3883406697021,2013
259,Eket,Akwa Ibom,Akwa Ibom__Eket,191.3713794310939,4.656953333333333,7.938437666666666,77.31326644370124,43.47826086956521,98.2451,6.701872,57,2.06546434899825,0.2087648105029803,0.0,275967.0,1442.0494894293531,0.3003875968992248,0,0.0,,0.0,2366.9169170768414,2013
260,Okobo,Akwa Ibom,Akwa Ibom__Okobo,307.70456655214826,4.838942843809298,8.131954593961495,67.71956131197247,57.692307692307686,0.0,0.0,22,1.3510525927927486,0.6988077812227633,0.0263157894736842,162836.0,529.1959161496661,0.5193798449612403,0,0.0,,0.0,657.6533682910714,2013
261,Kano Municipal,Kano,Kano__Kano Municipal,15.672175318114562,11.991008,8.517213,44.44444444444444,44.44444444444444,38.12296500000001,1.694354,35,0.5870454171880188,0.5601266609967618,1.0,596206.0,38042.32583532166,0.5691214470284238,0,0.0,,0.0,16632.96185260083,2013
